entity_key,manufacturer_ref,woo_parent_sku,woo_variation_sku,mapping_kind,evidence_ref,approved_by,approved_at
lux,Lux,ENKI-ESP-LUX,,parent,enki-espejos-live-identity#parent=ENKI-ESP-LUX,,
lux-050101,050101,,ENKI-ESP-050101,variation,enki-espejos-live-identity#variation=ENKI-ESP-050101,,
lux-050102,050102,,ENKI-ESP-050102,variation,enki-espejos-live-identity#variation=ENKI-ESP-050102,,
lux-050103,050103,,ENKI-ESP-050103,variation,enki-espejos-live-identity#variation=ENKI-ESP-050103,,
lux-050104,050104,,ENKI-ESP-050104,variation,enki-espejos-live-identity#variation=ENKI-ESP-050104,,
lux-050105,050105,,ENKI-ESP-050105,variation,enki-espejos-live-identity#variation=ENKI-ESP-050105,,
lux-050106,050106,,ENKI-ESP-050106,variation,enki-espejos-live-identity#variation=ENKI-ESP-050106,,
lux-050107,050107,,ENKI-ESP-050107,variation,enki-espejos-live-identity#variation=ENKI-ESP-050107,,
pure,Pure,ENKI-ESP-PURE,,parent,enki-espejos-live-identity#parent=ENKI-ESP-PURE,,
pure-050201,050201,,ENKI-ESP-050201,variation,enki-espejos-live-identity#variation=ENKI-ESP-050201,,
pure-050202,050202,,ENKI-ESP-050202,variation,enki-espejos-live-identity#variation=ENKI-ESP-050202,,
pure-050203,050203,,ENKI-ESP-050203,variation,enki-espejos-live-identity#variation=ENKI-ESP-050203,,
pure-050204,050204,,ENKI-ESP-050204,variation,enki-espejos-live-identity#variation=ENKI-ESP-050204,,
line,Line,ENKI-ESP-LINE,,parent,enki-espejos-live-identity#parent=ENKI-ESP-LINE,,
line-050301,050301,,ENKI-ESP-050301,variation,enki-espejos-live-identity#variation=ENKI-ESP-050301,,
line-050302,050302,,ENKI-ESP-050302,variation,enki-espejos-live-identity#variation=ENKI-ESP-050302,,
line-050303,050303,,ENKI-ESP-050303,variation,enki-espejos-live-identity#variation=ENKI-ESP-050303,,
line-050304,050304,,ENKI-ESP-050304,variation,enki-espejos-live-identity#variation=ENKI-ESP-050304,,
form,Form,ENKI-ESP-FORM,,parent,enki-espejos-live-identity#parent=ENKI-ESP-FORM,,
form-050401,050401,,ENKI-ESP-050401,variation,enki-espejos-live-identity#variation=ENKI-ESP-050401,,
form-050402,050402,,ENKI-ESP-050402,variation,enki-espejos-live-identity#variation=ENKI-ESP-050402,,
form-050403,050403,,ENKI-ESP-050403,variation,enki-espejos-live-identity#variation=ENKI-ESP-050403,,
axis,Axis,ENKI-ESP-AXIS,,parent,enki-espejos-live-identity#parent=ENKI-ESP-AXIS,,
axis-050501bm,050501BM,,ENKI-ESP-050501BM,variation,enki-espejos-live-identity#variation=ENKI-ESP-050501BM,,
axis-050502bm,050502BM,,ENKI-ESP-050502BM,variation,enki-espejos-live-identity#variation=ENKI-ESP-050502BM,,
axis-050503bm,050503BM,,ENKI-ESP-050503BM,variation,enki-espejos-live-identity#variation=ENKI-ESP-050503BM,,
opal,Opal,ENKI-ESP-OPAL,,parent,enki-espejos-live-identity#parent=ENKI-ESP-OPAL,,
opal-060101,060101,,ENKI-ESP-060101,variation,enki-espejos-live-identity#variation=ENKI-ESP-060101,,
opal-060102,060102,,ENKI-ESP-060102,variation,enki-espejos-live-identity#variation=ENKI-ESP-060102,,
opal-060103,060103,,ENKI-ESP-060103,variation,enki-espejos-live-identity#variation=ENKI-ESP-060103,,
elio,Elio,ENKI-ESP-ELIO,,parent,enki-espejos-live-identity#parent=ENKI-ESP-ELIO,,
elio-060201bm,060201BM,,ENKI-ESP-060201BM,variation,enki-espejos-live-identity#variation=ENKI-ESP-060201BM,,
elio-060202bm,060202BM,,ENKI-ESP-060202BM,variation,enki-espejos-live-identity#variation=ENKI-ESP-060202BM,,
elio-060203bm,060203BM,,ENKI-ESP-060203BM,variation,enki-espejos-live-identity#variation=ENKI-ESP-060203BM,,
eira,Eira,ENKI-ESP-EIRA,,parent,enki-espejos-live-identity#parent=ENKI-ESP-EIRA,,
eira-060301bm,060301BM,,ENKI-ESP-060301BM,variation,enki-espejos-live-identity#variation=ENKI-ESP-060301BM,,
eira-060302bm,060302BM,,ENKI-ESP-060302BM,variation,enki-espejos-live-identity#variation=ENKI-ESP-060302BM,,
auri,Auri,ENKI-ESP-AURI,,parent,enki-espejos-live-identity#parent=ENKI-ESP-AURI,,
auri-070101,070101,,ENKI-ESP-070101,variation,enki-espejos-live-identity#variation=ENKI-ESP-070101,,
auri-070102,070102,,ENKI-ESP-070102,variation,enki-espejos-live-identity#variation=ENKI-ESP-070102,,
tivo,Tivo,ENKI-ESP-TIVO,,parent,enki-espejos-live-identity#parent=ENKI-ESP-TIVO,,
tivo-070201bm,070201BM,,ENKI-ESP-070201BM,variation,enki-espejos-live-identity#variation=ENKI-ESP-070201BM,,
tivo-070202bm,070202BM,,ENKI-ESP-070202BM,variation,enki-espejos-live-identity#variation=ENKI-ESP-070202BM,,
